world_rank;total_score
1;94,3
2;93,3
3;93,2
4;92,9
5;92
6;91,9
7;90,9
8;89,5
9;87,5
9;87,5
11;87,1
12;85,5
13;84,6
14;84,4
15;83
16;81
17;80,9
18;79,9
19;79,4
20;79,3
21;79,2
22;78,7
23;76,1
24;74,3
25;73,3
26;73,2
27;72,8
28;72,3
29;71,9
29;71,9
29;71,9
32;71,8
33;71,2
34;70,9
34;70,9
36;70,4
37;70
38;69,9
39;69,6
40;69,4
41;68,6
42;67,8
43;67,5
44;66,8
45;66,5
46;65,9
46;65,9
48;65,2
49;65,1
50;64,8
51;64,7
52;64,5
52;64,5
54;64,1
55;63,7
55;63,7
57;63,6
58;62,9
59;62,8
60;62,7
61;62,2
61;62,2
63;61,9
64;61,3
65;61,2
66;61,1
67;61
68;60,7
69;59,8
70;59,6
71;59,2
72;59,1
73;59
74;58,9
75;58,4
75;58,4
77;58,2
78;58,1
79;58
80;57,9
81;57,6
82;57,3
83;56,9
83;56,9
85;56,6
86;56,5
86;56,5
88;56,4
88;56,4
90;56,2
91;56,1
91;56,1
93;55,5
94;55,3
94;55,3
96;55,2
97;55,1
98;54,6
98;54,6
98;54,6
101;54,3
102;54
103;53,9
103;53,9
103;53,9
103;53,9
107;53,8
107;53,8
109;53,7
109;53,7
111;53,6
111;53,6
113;53,4
113;53,4
113;53,4
116;53,2
117;53,1
118;53
119;52,9
120;52,8
121;52,7
121;52,7
121;52,7
124;52,6
124;52,6
126;52,5
126;52,5
126;52,5
129;52,4
130;52,1
131;52
132;51,9
132;51,9
132;51,9
135;51,6
136;51,4
136;51,4
138;51,2
139;51,1
140;51
141;50,9
141;50,9
141;50,9
144;50,5
144;50,5
146;50,4
147;50,3
148;50,2
148;50,2
150;50,1
150;50,1
152;50
153;49,9
154;49,7
155;49,3
156;49,2
157;49,1
157;49,1
157;49,1
160;49
160;49
162;48,6
163;48,3
164;48,2
165;48,1
165;48,1
165;48,1
165;48,1
169;48
170;47,9
171;47,8
171;47,8
173;47,7
173;47,7
175;47,5
175;47,5
177;47,3
178;47,1
178;47,1
180;47
180;47
182;46,9
182;46,9
182;46,9
185;46,8
186;46,7
186;46,7
188;46,6
188;46,6
188;46,6
191;46,5
192;46,3
193;46,2
193;46,2
195;46,1
196;46
196;46
198;45,9
199;45,7
200;45,6
200;45,6
