Pivot1-Werte;female_ratio;teaching;international_score;research;citations;income;total_score;num_students;student_staff_ratio;international_students
01.01.2011;;99,7;72,4;98,7;98,8;34,5;96,1;20152;8,9;0,25
01.01.2011;33;97,7;54,6;98;99,9;83,7;96;2243;6,9;0,27
01.01.2011;37;97,8;82,3;91,4;99,9;87,5;95,6;11074;9;0,33
01.01.2011;42;98,3;29,5;98,1;99,2;64,3;94,3;15596;7,8;0,22
01.01.2011;45;90,9;70,3;95,4;99,9;;94,2;7929;8,4;0,27
01.01.2011;46;90,5;77,7;94,1;94;57;91,2;18812;11,8;0,34
01.01.2011;46;88,2;77,2;93,9;95,1;73,5;91,2;19919;11,6;0,34
01.01.2011;50;84,2;39,6;99,3;97,8;;91,1;36186;16,4;0,15
01.01.2011;37;89,2;90;94,5;88,3;92,9;90,6;15060;11,7;0,51
01.01.2011;50;92,1;59,2;89,7;91,5;;89,5;11751;4,4;0,2
01.01.2011;52;83;48,1;92,9;93,2;;87,7;38206;10,3;0,15
01.01.2011;42;79,1;62,8;87,9;96,9;;86,9;14221;6,9;0,21
01.01.2011;50;80,9;58,5;89,2;92,3;100;86,4;15128;3,6;0,23
01.01.2011;48;82,2;62,4;88,8;88,1;34,7;83,9;21424;10,2;0,19
01.01.2011;31;77,5;93,7;87,8;83,1;;83,4;18178;14,7;0,37
01.01.2011;48;83,9;53,3;89,1;84,1;59,6;83,4;41786;9;0,16
01.01.2011;;75,8;;87,9;82,2;;82;66198;19,5;0,15
01.01.2011;;73,8;90,9;73,8;92,6;;81;25055;5,9;0,28
01.01.2011;51;71,8;32,9;82,7;93,6;43,7;79,5;20376;6,5;0,2
01.01.2011;39;70,3;39,1;79,3;95,7;53,7;79,3;11885;13,1;0,35
01.01.2011;53;68,4;91,4;71,4;96,1;56,5;79,2;19835;17,6;0,38
01.01.2011;56;74;90,8;81,6;80,6;39;78,4;26607;10,7;0,46
01.01.2011;53;68,2;49;77,1;95,9;32,8;78;44020;11,8;0,13
01.01.2011;49;66,8;49,4;71,5;92,3;100;76,5;15172;4,8;0,17
01.01.2011;48;64,5;60,5;68,8;95,3;;75,9;18334;13,8;0,15
01.01.2011;;87,7;18,4;91,9;58,1;;75,6;26199;5,7;0,1
01.01.2011;31;67,9;73,2;72,6;83,2;95,1;75,3;19967;20,1;0,26
01.01.2011;20;69,5;32,6;62,5;96,5;100;75,1;3055;10,1;0,04
01.01.2011;52;56,6;64,3;68;98,8;89,8;75;22020;27,3;0,11
01.01.2011;54;65,1;93,3;74,8;80,3;42,6;73,8;50152;17,6;0,25
01.01.2011;58;70,9;21,5;75,1;85;50,2;73,8;26518;7,3;0,08
01.01.2011;48;59,8;31,6;76,3;90,8;51,8;73,2;27233;6,5;0,11
01.01.2011;47;68,1;55,9;80,9;72,9;;73;42727;18,7;0,2
01.01.2011;49;65,5;97,8;72,6;78,7;40,5;72,9;31592;15,5;0,34
01.01.2011;56;69;85,9;74,9;69;;71,7;31326;13,7;0,23
01.01.2011;55;58,7;88;69,2;83,3;47,7;71;40128;23,7;0,35
01.01.2011;;76,4;68,6;61,3;72,2;98,6;70,7;40148;8,3;0,14
01.01.2011;;58,9;56,4;63;88,6;;69,9;12528;5,7;0,17
01.01.2011;18;57,9;77,9;56,1;91,4;;69,5;2429;4,8;0,3
01.01.2011;58;59,9;67,3;61,9;86,8;42,2;69,2;25774;14,1;0,36
01.01.2011;;50,4;97,4;51,8;98,2;64,1;69;11385;23,8;0,36
